time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature
2025-08-22T00:00:07.458593+05:30,0,0.0,0,0,0,5.5,23.4
2025-08-22T00:00:15.456648+05:30,0,0.0,0,0,0,5.0,23.4
2025-08-22T00:00:23.434875+05:30,0,0.0,0,0,0,5.3,24.7
2025-08-22T00:00:31.635282+05:30,0,0.0,0,0,0,5.4,23.5
2025-08-22T00:00:39.829141+05:30,0,0.0,0,0,0,5.3,24.7
2025-08-22T00:00:48.014723+05:30,0,0.0,0,0,0,5.3,23.5
2025-08-22T00:00:56.208089+05:30,0,0.0,0,0,0,5.2,23.5
2025-08-22T00:01:04.490959+05:30,0,0.0,0,0,0,5.3,23.4
2025-08-22T00:01:12.578840+05:30,0,0.0,0,0,0,5.3,23.4
2025-08-22T00:01:20.783319+05:30,0,0.0,0,0,0,5.3,23.4
2025-08-22T00:01:28.967136+05:30,0,0.0,0,0,0,5.2,23.4
2025-08-22T00:01:37.352618+05:30,0,0.0,0,0,0,5.4,23.4
2025-08-22T00:01:45.579525+05:30,0,0.0,0,0,0,5.4,23.4
2025-08-22T00:19:40.343963+05:30,0,0.0,0,0,0,3.7,24.4
2025-08-22T00:19:48.341536+05:30,0,0.0,0,0,0,4.1,23.8
2025-08-22T00:19:56.323193+05:30,0,0.0,0,0,0,3.9,23.8
2025-08-22T00:38:24.914400+05:30,0,0.0,0,0,0,5.2,23.6
2025-08-22T00:38:34.521944+05:30,0,0.0,0,0,0,5.0,23.6
2025-08-22T00:38:42.714268+05:30,0,0.0,0,0,0,4.7,23.9
2025-08-22T00:38:50.917713+05:30,0,0.0,0,0,0,4.9,23.6
2025-08-22T02:25:39.900121+05:30,0,0.0,0,0,0,5.3,26.0
2025-08-22T02:25:48.297754+05:30,0,0.0,0,0,0,5.4,24.8
2025-08-22T02:25:56.481364+05:30,0,18.3,0,0,0,4.0,25.9
2025-08-22T02:26:04.698083+05:30,0,0.0,0,0,0,5.4,25.7
