time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature
2025-08-20T13:19:23.328543Z,0,0.0,0,0,0,4.3,28.2
2025-08-20T13:19:31.519542Z,0,0.0,0,0,0,4.0,28.1
2025-08-20T13:19:39.925995Z,0,0.0,0,0,0,3.8,28.1
2025-08-20T13:19:47.902708Z,0,0.0,0,0,0,4.0,28.8
2025-08-20T13:19:56.105477Z,0,0.0,0,0,0,4.3,28.2
2025-08-20T13:20:04.282028Z,0,0.0,0,0,0,4.2,29.3
2025-08-20T13:20:12.283854Z,0,0.0,0,0,0,3.6,28.2
2025-08-20T13:20:20.479262Z,0,0.0,0,0,0,3.8,29.3
2025-08-20T13:20:28.871219Z,0,0.0,0,0,0,3.5,28.2
2025-08-20T13:20:36.850692Z,0,0.0,0,0,0,3.5,29.2
2025-08-20T13:20:44.842546Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:20:52.824809Z,0,0.0,0,0,0,3.8,28.2
2025-08-20T13:21:00.601071Z,0,0.0,0,0,0,4.0,29.3
2025-08-20T13:21:08.607568Z,0,0.0,0,0,0,3.9,28.1
2025-08-20T13:21:16.689888Z,0,0.0,0,0,0,4.0,29.3
2025-08-20T13:21:24.770084Z,0,0.0,0,0,0,3.9,28.1
2025-08-20T13:21:32.966831Z,0,0.0,0,0,0,4.1,28.1
2025-08-20T13:21:41.071795Z,0,0.0,0,0,0,3.8,29.3
2025-08-20T13:21:49.152284Z,0,0.0,0,0,0,3.7,28.1
2025-08-20T13:21:57.346005Z,0,0.0,0,0,0,3.7,28.1
2025-08-20T13:22:05.349526Z,0,0.0,0,0,0,3.9,28.1
2025-08-20T13:22:14.136169Z,0,0.0,0,0,0,3.4,28.2
2025-08-20T13:22:22.129583Z,0,0.0,0,0,0,4.2,29.3
2025-08-20T13:22:30.312893Z,0,0.0,0,0,0,4.1,29.3
2025-08-20T13:22:38.508532Z,0,0.0,0,0,0,4.1,28.2
2025-08-20T13:22:46.697530Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:22:54.884142Z,0,0.0,0,0,0,4.2,29.0
2025-08-20T13:23:03.086830Z,0,0.0,0,0,0,3.9,28.4
2025-08-20T13:23:11.273968Z,0,0.0,0,0,0,4.0,28.3
2025-08-20T13:23:19.264717Z,0,0.0,0,0,0,4.0,29.3
2025-08-20T13:23:27.260539Z,0,0.0,0,0,0,4.1,28.2
2025-08-20T13:23:35.439732Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:23:43.628689Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:23:51.822948Z,0,0.0,512,0,0,4.0,29.3
2025-08-20T13:24:00.222977Z,0,0.0,0,0,0,4.0,28.3
2025-08-20T13:24:08.231430Z,0,0.0,0,0,0,3.9,29.3
2025-08-20T13:24:16.631685Z,0,0.0,0,0,0,3.9,29.3
2025-08-20T13:24:25.012236Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:24:33.185243Z,0,0.0,0,0,0,4.2,28.2
2025-08-20T13:24:41.396709Z,0,0.0,0,0,0,1642.4,28.2
2025-08-20T13:24:49.782998Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:24:57.980583Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:25:05.970744Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:25:14.358536Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:25:22.344843Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:25:30.519575Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:25:38.718077Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:25:46.930775Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:25:55.110456Z,0,0.0,0,0,0,3.9,28.2
2025-08-20T13:26:03.513723Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:26:11.911958Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:26:20.308546Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:26:28.504487Z,0,0.0,0,0,0,3.9,29.4
2025-08-20T13:26:36.704582Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:26:44.874091Z,0,0.0,0,0,0,4.1,28.3
2025-08-20T13:26:53.288405Z,0,0.0,0,0,0,4.0,29.4
2025-08-20T13:27:01.881054Z,0,0.0,0,0,0,4.1,29.1
2025-08-20T13:27:10.120295Z,0,0.0,0,0,0,4.0,28.2
2025-08-20T13:27:18.259125Z,0,0.0,0,0,0,4.0,28.7
2025-08-20T13:27:26.458917Z,0,0.0,0,0,0,4.6,28.2
2025-08-20T13:27:34.873581Z,0,0.0,0,0,0,4.2,29.4
2025-08-20T13:27:43.228447Z,0,0.0,0,0,0,3.7,28.2
2025-08-20T13:27:51.639574Z,0,0.0,0,0,0,3.9,29.4
2025-08-20T13:27:59.840517Z,0,0.0,0,0,0,4.2,28.2
2025-08-20T13:28:08.028470Z,0,0.0,0,0,0,4.3,28.3
2025-08-20T13:28:16.219537Z,0,0.0,0,0,0,4.1,28.2
2025-08-20T13:28:24.623177Z,0,0.0,0,0,0,3.9,28.3
2025-08-20T13:28:33.041463Z,0,0.0,0,0,0,4.1,29.4
2025-08-20T13:28:41.002550Z,0,0.0,0,0,0,4.1,28.3
2025-08-20T13:28:49.178054Z,0,0.0,0,0,0,4.2,29.3
2025-08-20T13:28:57.576715Z,0,0.0,0,0,0,4.1,28.2
2025-08-20T13:29:05.786065Z,0,0.0,0,0,0,4.2,29.4
2025-08-20T13:29:14.384435Z,0,0.0,0,0,0,3.7,28.3
2025-08-20T13:29:22.773954Z,0,0.0,0,0,0,3.9,28.3
2025-08-20T13:29:31.193055Z,0,0.0,0,0,0,4.6,28.3
2025-08-20T13:29:39.573798Z,0,0.0,0,0,0,3.9,28.3
2025-08-20T13:29:47.972908Z,0,0.0,0,0,0,4.3,29.5
2025-08-20T13:29:56.169451Z,0,0.0,0,0,0,4.1,28.3
2025-08-20T13:30:04.762797Z,0,0.0,0,0,0,4.2,28.3
2025-08-20T13:30:12.958947Z,0,0.0,0,0,0,4.3,28.3
2025-08-20T13:30:21.369969Z,0,0.0,0,0,0,4.2,29.5
2025-08-20T13:30:29.749069Z,0,0.0,0,0,0,4.2,29.5
2025-08-20T13:30:38.147339Z,0,0.0,0,0,0,4.0,29.1
2025-08-20T13:30:46.544329Z,0,0.0,0,0,0,4.1,28.3
2025-08-20T13:30:54.939792Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:31:03.137020Z,0,0.0,0,0,0,4.1,28.4
2025-08-20T13:31:11.319201Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:31:19.519147Z,0,0.0,0,0,0,4.0,28.4
2025-08-20T13:31:28.324457Z,0,0.0,0,0,0,4.3,28.4
2025-08-20T13:31:36.531363Z,0,0.0,0,0,0,4.0,28.4
2025-08-20T13:31:44.711440Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:31:52.701031Z,0,0.0,0,0,0,3.9,28.4
2025-08-20T13:32:00.686275Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:32:08.859639Z,0,0.0,0,0,0,4.2,29.5
2025-08-20T13:32:17.264735Z,32768,0.0,0,0,0,4.0,29.5
2025-08-20T13:32:25.654724Z,0,0.0,0,0,0,4.4,28.4
2025-08-20T13:32:34.061600Z,0,0.0,0,0,0,4.0,29.5
2025-08-20T13:32:42.699638Z,0,0.0,0,0,0,4.1,29.6
2025-08-20T13:32:51.060982Z,0,0.0,0,0,0,4.1,29.5
2025-08-20T13:32:59.260049Z,0,0.0,0,0,0,4.1,28.4
2025-08-20T13:33:07.653084Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:33:15.848004Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:33:24.048320Z,0,0.0,0,0,0,4.2,29.4
2025-08-20T13:33:32.225200Z,0,0.0,0,0,0,4.2,28.4
2025-08-20T13:33:40.633287Z,0,0.0,0,0,0,4.2,29.6
2025-08-20T13:33:49.019411Z,0,0.0,0,0,0,4.0,29.6
2025-08-20T13:48:01.621789Z,0,0.0,0,0,0,5.2,28.3
2025-08-20T13:48:09.801749Z,0,0.0,0,0,0,5.1,28.3
2025-08-20T13:48:18.194472Z,0,0.0,0,0,0,5.3,28.3
2025-08-20T13:48:26.401805Z,0,0.0,0,0,0,5.2,29.1
2025-08-20T13:48:34.577393Z,0,0.0,0,0,0,5.3,28.3
2025-08-20T13:48:42.773016Z,0,0.0,0,0,0,5.3,29.4
2025-08-20T13:48:50.956889Z,0,0.0,0,0,0,5.3,29.5
2025-08-20T13:48:59.777574Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:53:43.228886Z,0,0.0,0,0,0,5.4,28.4
2025-08-20T13:53:51.686275Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:54:00.009760Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:54:08.184026Z,0,0.0,0,0,0,5.3,28.4
2025-08-20T13:54:16.580655Z,0,0.0,0,0,0,5.5,28.4
2025-08-20T13:54:24.988215Z,0,0.0,0,0,0,5.2,28.7
2025-08-20T13:54:33.187211Z,0,0.0,0,0,0,5.4,29.5
2025-08-20T13:54:41.580053Z,0,0.0,0,0,0,5.1,29.3
2025-08-20T13:54:49.757624Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:54:57.953250Z,0,0.0,0,0,0,5.0,28.4
2025-08-20T13:55:06.367810Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:55:14.751369Z,0,0.0,0,0,0,5.4,28.4
2025-08-20T13:55:23.148135Z,0,0.0,0,0,0,4.9,28.4
2025-08-20T13:55:31.139582Z,0,0.0,0,0,0,5.2,28.4
2025-08-20T13:55:39.539338Z,0,0.0,0,0,0,5.3,28.4
2025-08-20T13:55:48.340961Z,0,0.0,0,0,0,5.3,28.4
2025-08-20T13:55:56.752169Z,0,0.0,0,0,0,5.3,28.4
2025-08-20T15:31:02.868023Z,260,85.0,15,82,75,6.9,27.2
2025-08-20T15:31:11.262151Z,257,84.5,15,81,73,6.7,27.2
2025-08-20T15:31:19.642978Z,255,84.4,14,80,72,6.6,27.1
2025-08-20T15:31:28.690979Z,255,84.4,14,80,72,6.5,27.1
2025-08-20T15:31:36.855907Z,253,84.0,14,79,71,6.4,27.1
2025-08-20T15:31:45.057396Z,253,83.7,14,79,71,6.4,27.1
2025-08-20T15:31:53.250327Z,252,83.7,14,78,71,6.4,27.1
2025-08-20T15:32:02.060049Z,251,83.7,13,78,70,6.4,27.1
2025-08-20T15:32:10.247580Z,251,83.3,13,78,70,6.4,27.1
2025-08-20T15:32:18.443525Z,250,83.3,13,77,70,6.4,27.1
2025-08-20T15:32:26.628951Z,250,82.9,13,77,70,6.5,27.1
2025-08-20T15:32:35.005468Z,248,82.6,13,76,69,6.5,27.0
2025-08-20T15:32:43.416551Z,249,82.6,13,77,69,6.5,27.0
2025-08-20T15:32:51.625759Z,249,82.6,13,77,69,6.5,27.0
2025-08-20T15:32:59.815516Z,249,82.2,13,77,69,6.6,27.0
2025-08-20T15:33:07.985604Z,249,82.2,13,77,69,6.6,27.0
2025-08-20T15:33:16.393702Z,248,81.8,13,76,69,6.6,27.0
2025-08-20T15:33:24.779520Z,247,81.8,13,76,68,6.7,27.0
2025-08-20T15:33:32.558969Z,247,81.8,13,76,68,6.7,27.0
2025-08-20T15:33:40.775047Z,247,81.8,13,76,68,6.7,27.0
2025-08-20T15:33:48.961731Z,247,81.8,13,76,68,6.8,27.0
2025-08-20T15:33:57.345058Z,246,81.8,12,75,68,6.8,27.0
2025-08-20T15:34:05.745337Z,246,81.5,12,75,68,6.8,27.0
2025-08-20T15:34:13.933355Z,246,81.5,12,75,68,6.9,27.0
2025-08-20T15:34:22.146468Z,246,81.1,12,75,68,6.9,27.0
2025-08-20T15:34:30.529192Z,246,81.5,12,75,68,6.9,27.0
2025-08-20T15:34:38.830870Z,245,81.1,12,75,67,7.0,27.0
2025-08-20T15:34:47.107467Z,245,81.1,12,75,67,7.0,27.0
2025-08-20T15:34:55.521286Z,244,81.1,12,74,67,7.0,27.0
