time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature
2025-11-11 20:07:40.443238+05:30,803,91.1,129,344,339,7.6,24.2
2025-11-11 20:08:10.703382+05:30,831,91.9,135,358,352,7.5,24.2
2025-11-11 20:08:12.877523+05:30,872,92.6,143,377,372,7.4,24.2
2025-11-11 20:08:14.952210+05:30,862,93.1,141,372,367,7.3,24.1
2025-11-11 20:08:23.161528+05:30,889,93.5,147,385,381,7.3,24.1
2025-11-11 20:08:31.379302+05:30,874,93.7,143,378,373,7.2,24.1
2025-11-11 20:08:39.924056+05:30,900,93.9,149,391,386,7.2,24.1
2025-11-11 20:08:47.903922+05:30,887,94.2,146,385,380,7.1,24.1
2025-11-11 20:10:29.691894+05:30,863,93.7,141,373,368,6.9,24.2
2025-11-11 20:10:37.986107+05:30,887,93.9,146,385,380,6.9,24.2
2025-11-11 20:10:46.100789+05:30,880,93.9,145,381,376,6.9,24.2
2025-11-11 20:10:54.086206+05:30,889,93.9,147,385,381,6.9,24.2
2025-11-11 20:11:14.583350+05:30,900,93.9,149,391,386,6.9,24.2
2025-11-11 20:11:18.498013+05:30,895,93.9,148,388,383,6.8,24.2
2025-11-11 20:11:29.647364+05:30,896,93.7,148,389,384,6.8,24.2
2025-11-11 20:11:39.462332+05:30,874,93.7,143,378,373,6.8,24.2
2025-11-11 20:11:48.884830+05:30,893,93.7,147,387,382,6.8,24.3
2025-11-11 20:11:57.054672+05:30,887,93.5,146,385,380,6.8,24.3
2025-11-11 20:12:09.409317+05:30,885,93.5,146,384,379,6.8,24.3
2025-11-11 20:12:17.799481+05:30,854,93.5,139,369,363,6.8,24.3
2025-11-11 20:12:26.272546+05:30,854,93.4,139,369,363,6.8,24.3
2025-11-11 20:12:35.003475+05:30,881,93.5,145,382,377,6.8,24.3
2025-11-11 20:12:43.461814+05:30,877,93.5,144,380,375,6.7,24.3
2025-11-11 20:12:51.763558+05:30,891,93.4,147,386,381,6.7,24.3
2025-11-11 20:13:00.927589+05:30,878,93.4,144,380,375,6.7,24.3
2025-11-11 20:13:09.376552+05:30,867,93.4,142,375,370,6.7,24.3
2025-11-11 20:13:17.586770+05:30,885,93.4,146,384,379,6.7,24.3
2025-11-11 20:13:28.435225+05:30,866,93.2,142,374,369,6.7,24.3
2025-11-11 20:13:40.152960+05:30,867,93.2,142,375,370,6.7,24.3
2025-11-11 20:13:48.485409+05:30,885,93.2,146,384,379,6.7,24.3
2025-11-11 20:13:56.954792+05:30,854,93.2,139,369,363,6.7,24.4
2025-11-11 20:14:06.983874+05:30,866,93.2,142,374,369,6.7,24.3
2025-11-11 20:14:15.167555+05:30,907,93.2,150,394,389,6.7,24.4
2025-11-11 20:14:23.614780+05:30,863,93.2,141,373,368,6.7,24.3
2025-11-11 20:14:35.052315+05:30,870,93.2,143,376,371,6.7,24.4
2025-11-11 20:15:00.800204+05:30,865,93.2,142,374,369,6.7,24.4
2025-11-11 20:15:11.101155+05:30,861,93.1,141,372,367,6.6,24.4
2025-11-11 20:15:27.402071+05:30,872,92.9,143,377,372,6.6,24.4
2025-11-11 20:15:38.677935+05:30,873,92.9,143,378,373,6.6,24.5
2025-11-11 20:15:49.582342+05:30,862,92.9,141,372,367,6.6,24.5
2025-11-11 20:16:05.134308+05:30,855,92.9,140,369,364,6.6,24.5
2025-11-11 20:16:22.501316+05:30,867,92.9,142,375,370,6.6,24.5
2025-11-11 20:16:43.209481+05:30,867,92.7,142,375,370,6.6,24.5
2025-11-11 20:17:20.645855+05:30,862,92.7,141,372,367,6.6,24.5
2025-11-11 20:18:00.832656+05:30,861,92.6,141,372,367,6.6,24.5
2025-11-11 20:18:25.154472+05:30,861,92.6,141,372,367,6.6,24.5
2025-11-11 20:18:27.214784+05:30,843,92.6,137,363,358,6.6,24.5
2025-11-11 20:18:30.215773+05:30,848,92.6,138,366,361,6.6,24.5
2025-11-11 20:18:47.106461+05:30,852,92.6,139,368,363,6.6,24.5
2025-11-11 20:19:01.179085+05:30,847,92.2,138,365,360,6.6,24.5
2025-11-11 20:19:18.115857+05:30,839,92.2,136,361,356,6.6,24.5
2025-11-11 20:19:28.232941+05:30,842,92.2,137,363,358,6.6,24.5
2025-11-11 20:19:41.821669+05:30,822,92.2,133,353,348,6.6,24.5
2025-11-11 20:19:55.698437+05:30,822,92.2,133,353,348,6.6,24.5
2025-11-11 20:20:02.403188+05:30,835,92.1,135,359,354,6.5,24.5
2025-11-11 20:20:18.248542+05:30,828,92.1,134,356,351,6.5,24.5
2025-11-11 20:20:29.844033+05:30,840,91.9,136,362,357,6.5,24.5
2025-11-11 20:20:42.810901+05:30,862,91.9,141,372,367,6.5,24.5
2025-11-11 20:20:51.316882+05:30,835,91.9,135,359,354,6.5,24.5
2025-11-11 20:20:59.921161+05:30,824,92.1,133,354,349,6.5,24.5
2025-11-11 20:21:08.780493+05:30,828,92.1,134,356,351,6.5,24.5
2025-11-11 20:21:17.397046+05:30,840,91.9,136,362,357,6.5,24.5
2025-11-11 20:21:31.079278+05:30,833,92.1,135,358,353,6.5,24.5
2025-11-11 20:21:51.403805+05:30,848,91.9,138,366,361,6.5,24.5
2025-11-11 20:21:53.578478+05:30,825,91.9,133,355,349,6.5,24.5
2025-11-11 20:22:02.313866+05:30,846,91.9,138,365,360,6.5,24.5
2025-11-11 20:22:10.812532+05:30,836,91.9,136,360,355,6.5,24.5
2025-11-11 20:22:19.425307+05:30,822,91.9,133,353,348,6.5,24.5
2025-11-11 20:22:29.239960+05:30,813,91.9,131,349,344,6.5,24.5
2025-11-11 20:22:37.906499+05:30,843,91.9,137,363,358,6.5,24.5
2025-11-11 20:22:46.493163+05:30,837,91.9,136,360,355,6.5,24.5
2025-11-11 20:22:54.977189+05:30,837,91.6,136,360,355,6.5,24.5
2025-11-11 20:23:03.716190+05:30,828,91.9,134,356,351,6.5,24.5
2025-11-11 20:23:11.843206+05:30,832,91.7,135,358,353,6.5,24.5
2025-11-11 20:23:20.173911+05:30,812,91.6,131,348,343,6.5,24.5
2025-11-11 20:23:28.461843+05:30,824,91.6,133,354,349,6.5,24.5
2025-11-11 20:23:36.656110+05:30,836,91.6,136,360,355,6.5,24.5
2025-11-11 20:23:44.689781+05:30,809,91.6,130,347,342,6.5,24.5
2025-11-11 20:23:53.054667+05:30,832,91.6,135,358,353,6.5,24.5
2025-11-11 20:24:04.165052+05:30,833,91.7,135,358,353,6.5,24.5
2025-11-11 20:24:13.778438+05:30,814,91.9,131,349,344,6.5,24.5
2025-11-11 20:24:22.653753+05:30,829,91.6,134,357,351,6.5,24.5
2025-11-11 20:24:30.881735+05:30,831,91.6,135,358,352,6.5,24.5
2025-11-11 20:24:39.136010+05:30,824,91.4,133,354,349,6.5,24.5
2025-11-11 20:24:47.528907+05:30,820,91.4,132,352,347,6.5,24.5
2025-11-11 20:24:55.769615+05:30,821,91.4,132,353,347,6.5,24.5
2025-11-11 20:25:03.931239+05:30,816,91.4,131,350,345,6.5,24.5
2025-11-11 20:25:12.097176+05:30,840,91.4,136,362,357,6.5,24.5
2025-11-11 20:25:20.611416+05:30,846,91.3,138,365,360,6.5,24.5
2025-11-11 20:25:28.889187+05:30,820,91.4,132,352,347,6.5,24.5
2025-11-11 20:25:37.083953+05:30,816,91.4,131,350,345,6.5,24.5
2025-11-11 20:25:45.277102+05:30,839,91.3,136,361,356,6.5,24.5
2025-11-11 20:25:53.480856+05:30,806,91.3,129,345,340,6.5,24.5
2025-11-11 20:26:08.629823+05:30,810,91.3,130,347,342,6.5,24.5
2025-11-11 20:26:16.816254+05:30,835,91.3,135,359,354,6.5,24.5
2025-11-11 20:26:25.220381+05:30,829,91.3,134,357,351,6.5,24.5
2025-11-11 20:26:34.742384+05:30,848,91.3,138,366,361,6.5,24.5
2025-11-11 20:26:43.086775+05:30,842,91.3,137,363,358,6.5,24.5
2025-11-11 20:26:51.445635+05:30,821,91.3,132,353,347,6.5,24.5
2025-11-11 20:26:59.647566+05:30,822,91.3,133,353,348,6.5,24.5
2025-11-11 20:27:07.812860+05:30,821,91.1,132,353,347,6.5,24.5
2025-11-11 20:27:16.004646+05:30,807,91.3,129,346,341,6.5,24.5
2025-11-11 20:27:25.394689+05:30,799,91.3,128,342,337,6.5,24.5
2025-11-11 20:28:28.245387+05:30,810,91.3,130,347,342,6.5,24.5
2025-11-11 20:28:35.336118+05:30,825,91.1,133,355,349,6.4,24.5
2025-11-11 20:28:41.843652+05:30,814,91.1,131,349,344,6.4,24.5
2025-11-11 20:28:44.093456+05:30,824,91.1,133,354,349,6.4,24.5
2025-11-11 20:28:55.999774+05:30,829,90.9,134,357,351,6.4,24.5
2025-11-11 20:29:04.417620+05:30,857,90.9,140,370,365,6.4,24.5
2025-11-11 20:29:12.406361+05:30,795,90.9,127,340,335,6.4,24.5
2025-11-11 20:29:23.417650+05:30,828,90.9,134,356,351,6.4,24.5
2025-11-11 20:29:47.258669+05:30,797,90.9,127,341,336,6.4,24.5
2025-11-11 20:29:51.282541+05:30,814,90.8,131,349,344,6.4,24.5
2025-11-11 20:29:59.279783+05:30,817,90.8,132,351,346,6.4,24.5
2025-11-11 20:30:10.114228+05:30,810,90.8,130,347,342,6.4,24.5
2025-11-11 20:30:40.465815+05:30,776,90.8,123,331,326,6.4,24.5
2025-11-11 20:30:44.634143+05:30,805,90.8,129,345,340,6.4,24.5
2025-11-11 20:30:47.324553+05:30,782,90.6,124,334,328,6.4,24.5
2025-11-11 20:30:55.579628+05:30,791,90.6,126,338,333,6.4,24.5
2025-11-11 20:31:04.395293+05:30,805,90.6,129,345,340,6.4,24.5
2025-11-11 20:31:12.894329+05:30,803,90.6,129,344,339,6.4,24.5
2025-11-11 20:31:21.165451+05:30,795,90.6,127,340,335,6.4,24.5
2025-11-11 20:31:32.810680+05:30,779,90.6,124,332,327,6.4,24.5
2025-11-11 20:31:43.123019+05:30,794,90.6,127,340,334,6.4,24.5
2025-11-11 20:31:52.092521+05:30,810,90.6,130,347,342,6.4,24.4
2025-11-11 20:32:29.008445+05:30,783,90.6,124,334,329,6.4,24.4
2025-11-11 20:32:37.193887+05:30,803,90.4,129,344,339,6.4,24.4
2025-11-11 20:33:02.128097+05:30,786,90.4,125,336,330,6.4,24.5
2025-11-11 20:33:17.586683+05:30,790,90.3,126,338,332,6.4,24.4
2025-11-11 20:33:59.292468+05:30,810,90.3,130,347,342,6.4,24.4
2025-11-11 20:34:22.543655+05:30,788,90.3,126,337,331,6.4,24.4
2025-11-11 20:34:25.294583+05:30,803,90.3,129,344,339,6.4,24.3
2025-11-11 20:35:29.370534+05:30,775,90.3,123,331,325,6.4,24.4
2025-11-11 20:35:35.218306+05:30,824,90.1,133,354,349,6.4,24.4
2025-11-11 20:35:46.858448+05:30,786,90.1,125,336,330,6.4,24.4
2025-11-11 20:35:50.579899+05:30,795,90.1,127,340,335,6.4,24.3
2025-11-11 20:35:55.407669+05:30,795,90.3,127,340,335,6.4,24.3
2025-11-11 20:36:03.787852+05:30,784,90.1,125,335,329,6.4,24.3
