time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature
2026-03-13T13:08:22.321900+05:30,0,0.0,0,0,0,5.2,26.8
2026-03-13T13:08:31.725777+05:30,0,0.0,0,0,0,5.5,27.4
2026-03-13T13:08:40.182325+05:30,0,0.0,0,0,0,5.1,27.7
2026-03-13T13:08:48.307379+05:30,0,0.0,0,0,0,5.4,26.6
2026-03-13T13:08:56.748830+05:30,0,0.0,0,0,0,3.0,26.4
2026-03-13T13:09:05.180134+05:30,525,43.1,71,210,204,8.8,26.2
2026-03-13T13:09:13.103228+05:30,0,6.4,0,0,0,8.4,25.1
2026-03-13T13:09:21.315039+05:30,0,6.1,0,0,0,7.7,24.7
2026-03-13T13:09:41.909887+05:30,0,7.0,0,0,0,7.4,24.2
2026-03-13T13:09:44.250253+05:30,0,6.1,0,0,0,7.1,23.4
2026-03-13T13:09:52.626207+05:30,877,84.0,144,380,375,9.0,24.3
2026-03-13T13:10:02.123463+05:30,908,85.9,151,395,390,7.7,25.2
2026-03-13T13:10:14.368075+05:30,922,86.5,153,401,397,7.4,25.3
2026-03-13T13:10:22.927135+05:30,929,87.0,155,405,400,7.3,25.4
2026-03-13T13:10:31.186032+05:30,932,87.0,156,406,401,7.3,25.4
2026-03-13T13:10:39.329500+05:30,933,87.2,156,407,402,7.2,25.5
2026-03-13T13:10:47.742827+05:30,937,87.2,157,409,404,7.2,25.5
2026-03-13T13:10:56.147432+05:30,940,87.2,157,410,405,7.1,25.6
2026-03-13T13:11:04.355817+05:30,940,87.3,157,410,405,7.1,25.6
2026-03-13T13:11:14.336547+05:30,941,87.2,157,411,406,7.1,25.6
2026-03-13T13:11:22.533472+05:30,942,87.3,158,411,406,7.1,25.7
2026-03-13T13:11:30.995638+05:30,942,87.3,158,411,406,7.1,25.7
2026-03-13T13:11:39.108988+05:30,942,87.3,158,411,406,7.0,25.7
2026-03-13T13:11:47.585065+05:30,942,87.7,158,411,406,7.0,25.7
2026-03-13T13:11:56.759879+05:30,942,87.3,158,411,406,7.0,25.7
2026-03-13T13:12:05.343720+05:30,941,87.3,157,411,406,7.0,25.7
2026-03-13T13:12:13.572359+05:30,941,87.2,157,411,406,7.0,25.7
2026-03-13T13:12:23.849288+05:30,941,87.2,157,411,406,7.0,25.7
2026-03-13T13:12:33.077473+05:30,938,87.2,157,409,404,7.0,25.7
2026-03-13T13:12:41.567517+05:30,934,87.0,156,407,402,7.0,25.7
2026-03-13T13:12:49.991309+05:30,932,87.0,156,406,401,6.9,25.7
2026-03-13T13:12:58.376103+05:30,930,87.0,155,405,400,6.9,25.7
2026-03-13T13:13:06.790546+05:30,930,86.8,155,405,400,6.9,25.8
2026-03-13T13:13:14.956173+05:30,927,86.8,155,404,399,6.8,25.7
2026-03-13T13:13:23.163026+05:30,927,86.7,155,404,399,6.9,25.8
2026-03-13T13:13:31.339112+05:30,927,86.8,155,404,399,6.9,25.8
2026-03-13T13:13:39.330878+05:30,926,86.7,154,403,399,6.9,25.7
2026-03-13T13:13:47.531258+05:30,926,86.8,154,403,399,6.9,25.8
2026-03-13T13:13:55.718823+05:30,925,86.7,154,403,398,6.9,25.7
2026-03-13T13:14:03.969394+05:30,925,86.7,154,403,398,6.9,25.7
2026-03-13T13:14:12.144045+05:30,923,86.7,154,402,397,6.9,25.7
2026-03-13T13:14:20.309565+05:30,925,86.7,154,403,398,6.9,25.7
2026-03-13T13:14:28.621329+05:30,922,86.7,153,401,397,6.9,25.7
2026-03-13T13:14:36.881037+05:30,922,86.8,153,401,397,6.9,25.7
2026-03-13T13:14:45.230196+05:30,922,86.5,153,401,397,6.9,25.7
2026-03-13T13:14:53.850229+05:30,919,86.5,153,400,395,6.9,25.7
2026-03-13T13:15:02.061801+05:30,921,86.5,153,401,396,6.9,25.7
2026-03-13T13:15:10.331820+05:30,919,86.5,153,400,395,6.9,25.7
2026-03-13T13:15:41.001151+05:30,919,86.5,153,400,395,6.9,25.7
2026-03-13T13:15:44.330548+05:30,918,86.0,153,399,395,6.9,25.7
2026-03-13T13:15:52.475683+05:30,915,86.2,152,398,393,6.9,25.7
2026-03-13T13:16:03.324246+05:30,917,86.0,152,399,394,6.9,25.7
2026-03-13T13:16:11.919169+05:30,914,86.0,152,398,393,6.9,25.7
2026-03-13T13:16:20.195248+05:30,911,86.0,151,396,391,6.8,25.7
2026-03-13T13:16:28.535191+05:30,914,86.0,152,398,393,6.9,25.7
2026-03-13T13:16:37.124356+05:30,914,86.0,152,398,393,6.9,25.7
2026-03-13T13:16:45.621403+05:30,912,85.9,151,397,392,6.9,25.7
2026-03-13T13:16:57.019282+05:30,911,85.9,151,396,391,6.9,25.6
2026-03-13T13:17:05.251991+05:30,910,85.9,151,396,391,6.9,25.7
2026-03-13T13:17:13.490551+05:30,910,85.9,151,396,391,6.9,25.7
2026-03-13T13:17:22.165492+05:30,908,85.9,151,395,390,6.9,25.6
2026-03-13T13:17:30.459166+05:30,910,85.9,151,396,391,6.9,25.6
2026-03-13T13:17:40.789569+05:30,910,85.9,151,396,391,6.9,25.6
2026-03-13T13:18:08.338355+05:30,907,85.9,150,394,389,6.9,25.6
2026-03-13T13:18:27.126855+05:30,907,85.7,150,394,389,6.9,25.6
2026-03-13T13:18:29.585119+05:30,904,85.9,150,393,388,6.9,25.6
2026-03-13T13:18:37.762236+05:30,903,85.7,150,392,387,6.9,25.6
2026-03-13T13:18:46.252787+05:30,904,85.5,150,393,388,6.9,25.6
2026-03-13T13:18:54.739629+05:30,903,85.7,150,392,387,6.9,25.6
2026-03-13T13:19:03.137707+05:30,902,85.7,149,392,387,6.9,25.6
2026-03-13T13:19:11.671283+05:30,902,85.5,149,392,387,6.9,25.6
2026-03-13T13:19:20.202207+05:30,900,85.5,149,391,386,6.9,25.6
2026-03-13T13:19:28.526107+05:30,900,85.5,149,391,386,6.9,25.6
2026-03-13T13:19:36.864757+05:30,900,85.4,149,391,386,6.9,25.6
2026-03-13T13:19:45.158829+05:30,899,85.5,149,390,385,6.9,25.5
2026-03-13T13:19:56.956184+05:30,897,85.4,148,389,384,6.9,25.5
2026-03-13T13:20:05.619556+05:30,897,85.4,148,389,384,6.9,25.5
2026-03-13T13:20:14.231994+05:30,896,85.4,148,389,384,6.9,25.5
2026-03-13T13:20:22.625981+05:30,897,85.4,148,389,384,6.9,25.5
2026-03-13T13:20:30.787902+05:30,896,85.4,148,389,384,6.9,25.5
2026-03-13T13:20:39.623381+05:30,895,85.2,148,388,383,6.9,25.5
2026-03-13T13:20:48.272059+05:30,895,85.4,148,388,383,6.9,25.5
2026-03-13T13:20:56.807858+05:30,895,85.2,148,388,383,6.9,25.5
2026-03-13T13:21:05.225908+05:30,893,85.2,147,387,382,6.9,25.5
2026-03-13T13:21:14.263939+05:30,893,85.2,147,387,382,6.9,25.5
2026-03-13T13:21:22.511650+05:30,892,85.0,147,387,382,6.9,25.5
2026-03-13T13:21:31.066896+05:30,892,85.0,147,387,382,6.9,25.5
2026-03-13T13:21:41.428852+05:30,891,85.0,147,386,381,6.9,25.5
2026-03-13T13:21:50.207663+05:30,891,85.0,147,386,381,6.9,25.5
2026-03-13T13:21:58.803850+05:30,891,85.0,147,386,381,6.9,25.4
2026-03-13T13:22:07.103062+05:30,891,85.0,147,386,381,6.9,25.4
2026-03-13T13:22:15.655645+05:30,888,85.0,146,385,380,6.9,25.4
2026-03-13T13:22:24.217511+05:30,889,85.0,147,385,381,6.9,25.4
2026-03-13T13:22:32.487835+05:30,888,85.0,146,385,380,6.9,25.4
2026-03-13T13:22:44.066987+05:30,887,85.0,146,385,380,6.9,25.4
2026-03-13T13:22:52.364326+05:30,888,85.0,146,385,380,6.9,25.4
2026-03-13T13:23:01.211078+05:30,885,84.9,146,384,379,6.9,25.4
2026-03-13T13:23:09.810532+05:30,887,84.9,146,385,380,6.9,25.4
2026-03-13T13:23:18.349819+05:30,887,85.0,146,385,380,6.9,25.4
2026-03-13T13:23:27.049557+05:30,885,84.9,146,384,379,6.9,25.4
2026-03-13T13:23:35.883226+05:30,885,84.9,146,384,379,6.9,25.4
2026-03-13T13:23:44.375615+05:30,884,84.9,146,383,378,6.9,25.4
2026-03-13T13:23:52.804262+05:30,882,84.9,145,382,377,6.9,25.4
2026-03-13T13:24:00.972616+05:30,884,85.0,146,383,378,6.9,25.4
2026-03-13T13:24:09.167915+05:30,881,84.9,145,382,377,6.9,25.4
2026-03-13T13:24:17.350608+05:30,882,84.7,145,382,377,6.9,25.4
2026-03-13T13:24:26.641436+05:30,884,84.9,146,383,378,7.0,25.4
2026-03-13T13:24:35.769341+05:30,881,84.7,145,382,377,7.0,25.3
2026-03-13T13:24:44.761456+05:30,881,84.7,145,382,377,7.0,25.3
2026-03-13T13:24:53.468260+05:30,882,84.7,145,382,377,7.0,25.3
2026-03-13T13:25:02.029956+05:30,880,84.7,145,381,376,7.0,25.3
2026-03-13T13:25:10.244018+05:30,881,84.5,145,382,377,7.0,25.3
2026-03-13T13:25:18.411921+05:30,880,84.5,145,381,376,7.0,25.3
2026-03-13T13:25:26.551761+05:30,878,85.0,144,380,375,7.0,25.3
2026-03-13T13:25:34.933776+05:30,878,84.5,144,380,375,7.0,25.3
2026-03-13T13:25:43.773677+05:30,880,84.7,145,381,376,7.0,25.3
2026-03-13T13:25:52.431428+05:30,878,84.5,144,380,375,7.0,25.3
2026-03-13T13:26:01.329208+05:30,878,84.5,144,380,375,7.0,25.3
2026-03-13T13:26:10.119743+05:30,877,84.4,144,380,375,7.0,25.3
2026-03-13T13:26:18.753684+05:30,877,84.4,144,380,375,7.0,25.3
2026-03-13T13:26:27.223472+05:30,876,84.5,144,379,374,7.0,25.3
2026-03-13T13:26:35.819604+05:30,874,84.4,143,378,373,7.0,25.3
2026-03-13T13:26:44.334115+05:30,876,84.7,144,379,374,7.0,25.3
2026-03-13T13:26:52.808879+05:30,874,84.5,143,378,373,7.0,25.3
2026-03-13T13:27:02.124761+05:30,876,84.4,144,379,374,7.0,25.3
2026-03-13T13:27:10.461808+05:30,874,84.4,143,378,373,7.0,25.3
2026-03-13T13:27:19.010299+05:30,874,84.4,143,378,373,7.0,25.3
2026-03-13T13:27:27.274006+05:30,872,84.4,143,377,372,7.0,25.3
2026-03-13T13:27:35.606760+05:30,872,84.4,143,377,372,7.0,25.2
2026-03-13T13:27:44.318688+05:30,872,84.4,143,377,372,7.0,25.3
2026-03-13T13:27:53.093823+05:30,872,84.4,143,377,372,7.0,25.2
2026-03-13T13:28:01.840022+05:30,874,84.4,143,378,373,7.0,25.2
2026-03-13T13:28:10.313955+05:30,872,84.2,143,377,372,7.0,25.2
2026-03-13T13:28:18.613526+05:30,872,84.2,143,377,372,7.0,25.2
2026-03-13T13:28:27.070655+05:30,872,84.2,143,377,372,7.0,25.2
2026-03-13T13:28:36.151081+05:30,870,84.2,143,376,371,7.0,25.2
2026-03-13T13:28:45.680461+05:30,870,84.2,143,376,371,7.0,25.2
2026-03-13T13:28:56.911394+05:30,870,84.2,143,376,371,7.0,25.2
2026-03-13T13:29:05.395988+05:30,869,84.4,142,376,371,7.0,25.2
2026-03-13T13:29:14.153494+05:30,869,84.0,142,376,371,7.0,25.2
2026-03-13T13:29:22.897114+05:30,867,84.0,142,375,370,7.0,25.2
2026-03-13T13:29:31.096197+05:30,867,84.2,142,375,370,7.0,25.2
2026-03-13T13:29:39.376204+05:30,866,84.0,142,374,369,7.0,25.2
2026-03-13T13:29:47.711083+05:30,866,84.0,142,374,369,7.0,25.2
2026-03-13T13:29:56.302239+05:30,866,84.0,142,374,369,7.0,25.2
2026-03-13T13:30:04.670074+05:30,865,84.0,142,374,369,7.0,25.2
2026-03-13T13:30:12.901580+05:30,866,84.0,142,374,369,7.0,25.2
2026-03-13T13:30:21.542225+05:30,866,84.0,142,374,369,7.0,25.2
2026-03-13T13:30:29.928483+05:30,865,83.7,142,374,369,7.0,25.2
2026-03-13T13:30:38.556603+05:30,862,83.7,141,372,367,7.0,25.2
2026-03-13T13:30:47.371809+05:30,865,83.7,142,374,369,7.0,25.2
2026-03-13T13:30:56.014959+05:30,863,83.7,141,373,368,7.1,25.2
2026-03-13T13:31:06.049992+05:30,863,84.0,141,373,368,7.1,25.2
2026-03-13T13:31:14.870971+05:30,863,83.7,141,373,368,7.1,25.1
2026-03-13T13:31:23.406659+05:30,863,83.7,141,373,368,7.1,25.1
2026-03-13T13:31:31.716066+05:30,861,83.3,141,372,367,7.1,25.1
2026-03-13T13:31:40.194937+05:30,862,83.3,141,372,367,7.1,25.1
2026-03-13T13:31:48.702017+05:30,861,83.3,141,372,367,7.1,25.1
